CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0022000006459512WH;20/07/2016;23;0,109;R;
ES0022000006459512WH;20/07/2016;24;0,163;R;
ES0022000006459512WH;21/07/2016;1;0,071;R;
ES0022000006459512WH;21/07/2016;2;0,027;R;
ES0022000006459512WH;21/07/2016;3;0,1;R;
ES0022000006459512WH;21/07/2016;4;0,095;R;
ES0022000006459512WH;21/07/2016;5;0,094;R;
ES0022000006459512WH;21/07/2016;6;0,876;R;
ES0022000006459512WH;21/07/2016;7;0,286;R;
ES0022000006459512WH;21/07/2016;8;0,089;R;
ES0022000006459512WH;21/07/2016;9;0,122;R;
ES0022000006459512WH;21/07/2016;10;0,101;R;
ES0022000006459512WH;21/07/2016;11;0,1;R;
ES0022000006459512WH;21/07/2016;12;0,043;R;
ES0022000006459512WH;21/07/2016;13;0,035;R;
ES0022000006459512WH;21/07/2016;14;0,102;R;
ES0022000006459512WH;21/07/2016;15;0,105;R;
ES0022000006459512WH;21/07/2016;16;0,103;R;
ES0022000006459512WH;21/07/2016;17;0,059;R;
ES0022000006459512WH;21/07/2016;18;0,036;R;
ES0022000006459512WH;21/07/2016;19;0,086;R;
ES0022000006459512WH;21/07/2016;20;0,105;R;
ES0022000006459512WH;21/07/2016;21;0,102;R;
ES0022000006459512WH;21/07/2016;22;0,136;R;
ES0022000006459512WH;21/07/2016;23;0,14;R;
ES0022000006459512WH;21/07/2016;24;0,102;R;
ES0022000006459512WH;22/07/2016;1;0,113;R;
ES0022000006459512WH;22/07/2016;2;0,098;R;
ES0022000006459512WH;22/07/2016;3;0,094;R;
ES0022000006459512WH;22/07/2016;4;0,088;R;
ES0022000006459512WH;22/07/2016;5;0,027;R;
ES0022000006459512WH;22/07/2016;6;1,017;R;
ES0022000006459512WH;22/07/2016;7;0,201;R;
ES0022000006459512WH;22/07/2016;8;0,092;R;
ES0022000006459512WH;22/07/2016;9;0,1;R;
ES0022000006459512WH;22/07/2016;10;0,061;R;
ES0022000006459512WH;22/07/2016;11;0,033;R;
ES0022000006459512WH;22/07/2016;12;0,101;R;
ES0022000006459512WH;22/07/2016;13;0,101;R;
ES0022000006459512WH;22/07/2016;14;0,099;R;
ES0022000006459512WH;22/07/2016;15;0,043;R;
ES0022000006459512WH;22/07/2016;16;0,042;R;
ES0022000006459512WH;22/07/2016;17;0,106;R;
ES0022000006459512WH;22/07/2016;18;0,1;R;
ES0022000006459512WH;22/07/2016;19;0,099;R;
ES0022000006459512WH;22/07/2016;20;0,042;R;
ES0022000006459512WH;22/07/2016;21;0,038;R;
ES0022000006459512WH;22/07/2016;22;0,107;R;
ES0022000006459512WH;22/07/2016;23;0,102;R;
ES0022000006459512WH;22/07/2016;24;0,077;R;
ES0022000006459512WH;23/07/2016;1;0,033;R;
ES0022000006459512WH;23/07/2016;2;0,074;R;
ES0022000006459512WH;23/07/2016;3;0,104;R;
ES0022000006459512WH;23/07/2016;4;0,079;R;
ES0022000006459512WH;23/07/2016;5;0,025;R;
ES0022000006459512WH;23/07/2016;6;0,039;R;
ES0022000006459512WH;23/07/2016;7;0,099;R;
ES0022000006459512WH;23/07/2016;8;0,092;R;
ES0022000006459512WH;23/07/2016;9;0,032;R;
ES0022000006459512WH;23/07/2016;10;0,024;R;
ES0022000006459512WH;23/07/2016;11;0,099;R;
ES0022000006459512WH;23/07/2016;12;0,103;R;
ES0022000006459512WH;23/07/2016;13;0,069;R;
